playerID,nameFirst,nameLast,nameGiven,weight,height,bats,throws,debut,finalGame
aardsda01,David,Aardsma,David Allan,215,75,R,R,2004-04-06,2015-08-23
aaronha01,Hank,Aaron,Henry Louis,180,72,R,R,1954-04-13,1976-10-03
aaronto01,Tommie,Aaron,Tommie Lee,190,75,R,R,1962-04-10,1971-09-26
aasedo01,Don,Aase,Donald William,190,75,R,R,1977-07-26,1990-10-03
abadan01,Andy,Abad,Fausto Andres,184,73,L,L,2001-09-10,2006-04-13
abadfe01,Fernando,Abad,Fernando Antonio,235,74,L,L,2010-07-28,2021-10-01
abadijo01,John,Abadie,John W.,192,72,R,R,1875-04-26,1875-06-10
abbated01,Ed,Abbaticchio,Edward James,170,71,R,R,1897-09-04,1910-09-15
abbeybe01,Bert,Abbey,Bert Wood,175,71,R,R,1892-06-14,1896-09-23
abbeych01,Charlie,Abbey,Charles S.,169,68,L,L,1893-08-16,1897-08-19
abbotco01,Cory,Abbott,Cory James,210,73,R,R,2021-06-05,2021-10-02
abbotda01,Dan,Abbott,Leander Franklin,190,71,R,R,1890-04-19,1890-05-23
abbotfr01,Fred,Abbott,Harry Frederick,180,70,R,R,1903-04-25,1905-09-20
abbotgl01,Glenn,Abbott,William Glenn,200,78,R,R,1973-07-29,1984-08-08
abbotje01,Jeff,Abbott,Jeffrey William,190,74,R,L,1997-06-10,2001-09-29
abbotji01,Jim,Abbott,James Anthony,200,75,L,L,1989-04-08,1999-07-21
abbotku01,Kurt,Abbott,Kurt Thomas,180,71,R,R,1993-09-07,2001-04-13
abbotky01,Kyle,Abbott,Lawrence Kyle,200,76,L,L,1991-09-10,1996-08-24
abbotod01,Ody,Abbott,Ody Cleon,165,69,L,R,1910-09-10,1910-10-15
abbotpa01,Paul,Abbott,Paul David,185,75,R,R,1990-08-21,2004-08-07
aberal01,Al,Aber,Albert Julius,195,74,L,L,1950-09-15,1957-09-11
abercda01,Frank,Abercrombie,Francis Patterson,,,,,1871-10-21,1871-10-21
abercre01,Reggie,Abercrombie,Reginald Damascus,215,75,R,R,2006-04-04,2008-09-28
abernbi01,Bill,Abernathie,William Edward,190,70,R,R,1952-09-27,1952-09-27
abernbr01,Brent,Abernathy,Michael Brent,185,73,R,R,2001-06-25,2005-09-29
abernte01,Ted,Abernathy,Talmadge Lafayette,210,74,R,L,1942-09-19,1944-04-29
abernte02,Ted,Abernathy,Theodore Wade,215,76,R,R,1955-04-13,1972-09-30
abernwo01,Woody,Abernathy,Virgil Woodrow,170,72,L,L,1946-07-28,1947-04-17
